x,y
80.5,15.7995
80.6,15.7998
80.7,15.8001
80.8,15.8003
80.9,15.8006
81,15.8009
81.1,15.8011
81.2,15.8014
81.3,15.8017
81.4,15.8019
81.5,15.8022
81.6,15.8025
81.7,15.8027
81.8,15.803
81.9,15.8032
82,15.8035
82.1,15.8037
82.2,15.804
82.3,15.8042
82.4,15.8044
82.5,15.8047
82.6,15.8049
82.7,15.8052
82.8,15.8054
82.9,15.8056
83,15.8059
83.1,15.8061
83.2,15.8063
83.3,15.8066
83.4,15.8068
83.5,15.807
83.6,15.8072
83.7,15.8075
83.8,15.8077
83.9,15.8079
84,15.8081
84.1,15.8083
84.2,15.8085
84.3,15.8088
84.4,15.809
84.5,15.8092
84.6,15.8094
84.7,15.8096
84.8,15.8098
84.9,15.81
85,15.8102
85.1,15.8104
85.2,15.8106
85.3,15.8108
85.4,15.811
85.5,15.8112
85.6,15.8114
85.7,15.8116
85.8,15.8118
85.9,15.812
86,15.8122
86.1,15.8124
86.2,15.8125
86.3,15.8127
86.4,15.8129
86.5,15.8131
86.6,15.8133
86.7,15.8135
86.8,15.8136
86.9,15.8138
87,15.814
87.1,15.8142
87.2,15.8143
87.3,15.8145
87.4,15.8147
87.5,15.8149
87.6,15.815
87.7,15.8152
87.8,15.8154
87.9,15.8155
88,15.8157
88.1,15.8159
88.2,15.816
88.3,15.8162
88.4,15.8164
88.5,15.8165
88.6,15.8167
88.7,15.8168
88.8,15.817
88.9,15.8171
89,15.8173
89.1,15.8175
89.2,15.8176
89.3,15.8178
89.4,15.8179
89.5,15.8181
89.6,15.8182
89.7,15.8184
89.8,15.8185
89.9,15.8186
90,15.8188
90.1,15.8189
90.2,15.8191
90.3,15.8192
90.4,15.8194
90.5,15.8195
90.6,15.8196
90.7,15.8198
90.8,15.8199
90.9,15.82
91,15.8202
91.1,15.8203
91.2,15.8204
91.3,15.8206
91.4,15.8207
91.5,15.8208
91.6,15.821
91.7,15.8211
91.8,15.8212
91.9,15.8213
92,15.8215
92.1,15.8216
92.2,15.8217
92.3,15.8218
92.4,15.822
92.5,15.8221
92.6,15.8222
92.7,15.8223
92.8,15.8225
92.9,15.8226
93,15.8227
93.1,15.8228
93.2,15.8229
93.3,15.823
93.4,15.8231
93.5,15.8233
93.6,15.8234
93.7,15.8235
93.8,15.8236
93.9,15.8237
94,15.8238
94.1,15.8239
94.2,15.824
94.3,15.8241
94.4,15.8242
94.5,15.8244
94.6,15.8245
94.7,15.8246
