x,y
93.5,32.9512
93.6,32.9685
93.7,32.9859
93.8,33.0032
93.9,33.0205
94,33.0378
94.1,33.0551
94.2,33.0724
94.3,33.0897
94.4,33.1069
94.5,33.1242
94.6,33.1415
94.7,33.1587
94.8,33.1759
94.9,33.1932
95,33.2104
95.1,33.2276
95.2,33.2448
95.3,33.262
95.4,33.2791
95.5,33.2963
95.6,33.3135
95.7,33.3306
95.8,33.3478
95.9,33.3649
96,33.382
96.1,33.3992
96.2,33.4163
96.3,33.4334
96.4,33.4505
96.5,33.4675
96.6,33.4846
96.7,33.5017
96.8,33.5187
96.9,33.5358
97,33.5528
97.1,33.5699
97.2,33.5869
97.3,33.6039
97.4,33.6209
97.5,33.6379
97.6,33.6549
97.7,33.6719
97.8,33.6888
97.9,33.7058
98,33.7227
98.1,33.7397
98.2,33.7566
98.3,33.7736
98.4,33.7905
98.5,33.8074
98.6,33.8243
98.7,33.8412
98.8,33.8581
98.9,33.8749
99,33.8918
99.1,33.9087
99.2,33.9255
99.3,33.9424
99.4,33.9592
99.5,33.976
99.6,33.9928
99.7,34.0097
99.8,34.0265
99.9,34.0433
100,34.06
100.1,34.0768
100.2,34.0936
100.3,34.1103
100.4,34.1271
100.5,34.1438
100.6,34.1606
100.7,34.1773
100.8,34.194
100.9,34.2107
101,34.2274
101.1,34.2441
101.2,34.2608
101.3,34.2775
101.4,34.2942
101.5,34.3108
101.6,34.3275
101.7,34.3441
101.8,34.3608
101.9,34.3774
102,34.394
102.1,34.4106
102.2,34.4272
102.3,34.4438
102.4,34.4604
102.5,34.477
102.6,34.4936
102.7,34.5102
102.8,34.5267
102.9,34.5433
103,34.5598
103.1,34.5763
103.2,34.5929
103.3,34.6094
103.4,34.6259
103.5,34.6424
103.6,34.6589
103.7,34.6754
103.8,34.6919
103.9,34.7083
104,34.7248
104.1,34.7413
104.2,34.7577
104.3,34.7741
104.4,34.7906
104.5,34.807
104.6,34.8234
104.7,34.8398
104.8,34.8562
104.9,34.8726
105,34.889
105.1,34.9054
105.2,34.9218
105.3,34.9381
105.4,34.9545
105.5,34.9708
105.6,34.9872
105.7,35.0035
105.8,35.0198
105.9,35.0361
106,35.0524
106.1,35.0687
106.2,35.085
106.3,35.1013
106.4,35.1176
106.5,35.1339
106.6,35.1501
106.7,35.1664
106.8,35.1827
106.9,35.1989
107,35.2151
107.1,35.2314
107.2,35.2476
107.3,35.2638
107.4,35.28
107.5,35.2962
107.6,35.3124
107.7,35.3286
107.8,35.3447
107.9,35.3609
108,35.3771
108.1,35.3932
108.2,35.4094
108.3,35.4255
108.4,35.4416
108.5,35.4577
108.6,35.4739
108.7,35.49
108.8,35.5061
108.9,35.5222
109,35.5383
109.1,35.5543
109.2,35.5704
109.3,35.5865
109.4,35.6025
109.5,35.6186
109.6,35.6346
109.7,35.6507
109.8,35.6667
109.9,35.6827
110,35.6987
110.1,35.7147
110.2,35.7307
110.3,35.7467
110.4,35.7627
110.5,35.7787
110.6,35.7947
110.7,35.8106
110.8,35.8266
110.9,35.8425
111,35.8585
111.1,35.8744
111.2,35.8903
111.3,35.9063
111.4,35.9222
111.5,35.9381
111.6,35.954
111.7,35.9699
111.8,35.9858
111.9,36.0016
112,36.0175
112.1,36.0334
112.2,36.0492
112.3,36.0651
112.4,36.0809
112.5,36.0968
112.6,36.1126
112.7,36.1284
112.8,36.1442
112.9,36.16
113,36.1758
113.1,36.1916
113.2,36.2074
113.3,36.2232
113.4,36.239
113.5,36.2548
113.6,36.2705
113.7,36.2863
113.8,36.302
113.9,36.3178
114,36.3335
114.1,36.3492
114.2,36.3649
114.3,36.3807
114.4,36.3964
114.5,36.4121
114.6,36.4278
114.7,36.4434
114.8,36.4591
114.9,36.4748
115,36.4905
115.1,36.5061
115.2,36.5218
115.3,36.5374
115.4,36.5531
115.5,36.5687
115.6,36.5843
115.7,36.5999
115.8,36.6156
115.9,36.6312
116,36.6468
116.1,36.6624
116.2,36.6779
116.3,36.6935
116.4,36.7091
116.5,36.7247
116.6,36.7402
116.7,36.7558
116.8,36.7713
116.9,36.7869
117,36.8024
117.1,36.8179
117.2,36.8334
117.3,36.849
117.4,36.8645
117.5,36.88
117.6,36.8955
117.7,36.9109
117.8,36.9264
117.9,36.9419
118,36.9574
118.1,36.9728
118.2,36.9883
118.3,37.0037
118.4,37.0192
118.5,37.0346
118.6,37.05
118.7,37.0655
118.8,37.0809
118.9,37.0963
119,37.1117
119.1,37.1271
119.2,37.1425
119.3,37.1579
119.4,37.1732
119.5,37.1886
119.6,37.204
119.7,37.2193
119.8,37.2347
119.9,37.25
120,37.2654
120.1,37.2807
120.2,37.296
120.3,37.3114
120.4,37.3267
120.5,37.342
120.6,37.3573
120.7,37.3726
120.8,37.3879
120.9,37.4032
121,37.4184
121.1,37.4337
121.2,37.449
121.3,37.4642
121.4,37.4795
121.5,37.4947
121.6,37.51
121.7,37.5252
121.8,37.5404
121.9,37.5557
122,37.5709
122.1,37.5861
122.2,37.6013
122.3,37.6165
122.4,37.6317
122.5,37.6469
122.6,37.662
122.7,37.6772
122.8,37.6924
122.9,37.7075
123,37.7227
123.1,37.7378
123.2,37.753
123.3,37.7681
123.4,37.7833
123.5,37.7984
123.6,37.8135
123.7,37.8286
123.8,37.8437
123.9,37.8588
124,37.8739
124.1,37.889
124.2,37.9041
124.3,37.9191
124.4,37.9342
124.5,37.9493
124.6,37.9643
124.7,37.9794
124.8,37.9944
124.9,38.0095
125,38.0245
125.1,38.0395
125.2,38.0546
125.3,38.0696
125.4,38.0846
125.5,38.0996
125.6,38.1146
125.7,38.1296
125.8,38.1446
125.9,38.1595
126,38.1745
126.1,38.1895
126.2,38.2045
126.3,38.2194
126.4,38.2344
126.5,38.2493
126.6,38.2642
126.7,38.2792
126.8,38.2941
126.9,38.309
127,38.3239
127.1,38.3389
127.2,38.3538
127.3,38.3687
127.4,38.3836
127.5,38.3984
127.6,38.4133
127.7,38.4282
127.8,38.4431
127.9,38.4579
128,38.4728
128.1,38.4876
128.2,38.5025
128.3,38.5173
128.4,38.5322
128.5,38.547
